type,x,mean_mag
time_sec,69.0,5.288392672010883e-07
time_sec,70.0,6.002665805503133e-07
time_sec,71.0,5.146624997471042e-07
time_sec,72.0,4.796038778797282e-07
time_sec,73.0,4.91732297135065e-07
time_sec,74.0,5.331093520672172e-07
time_sec,75.0,5.67845644201103e-07
time_sec,76.0,5.296801042769288e-07
time_sec,77.0,5.130050329562298e-07
time_sec,78.0,5.280973652080922e-07
time_sec,79.0,4.85083240965367e-07
time_sec,80.0,5.484182069137742e-07
time_sec,81.0,7.791427512310598e-07
time_sec,82.0,7.798888861227706e-07
time_sec,83.0,5.234495620565545e-07
time_sec,84.0,5.411523252430777e-07
time_sec,85.0,5.25534689188562e-07
time_sec,86.0,5.633055260000527e-07
time_sec,87.0,7.080813321390816e-07
time_sec,88.0,7.558601527509941e-07
time_sec,89.0,7.215980488032432e-07
time_sec,90.0,5.530601583006107e-07
time_sec,91.0,7.315984705928566e-07
time_sec,92.0,6.472478887921266e-07
time_sec,93.0,5.330208050068669e-07
time_sec,94.0,5.322078296561426e-07
time_sec,95.0,5.401775053526695e-07
time_sec,96.0,4.775527023629944e-07
time_sec,97.0,5.565020918979742e-07
time_sec,98.0,6.38271570691007e-07
time_sec,99.0,6.055167411900155e-07
time_sec,100.0,6.602187962357414e-07
time_sec,101.0,5.001068521328756e-07
time_sec,102.0,5.102736031490123e-07
time_sec,103.0,5.939486122396503e-07
time_sec,104.0,5.011737583432226e-07
time_sec,105.0,7.068796032618148e-07
time_sec,106.0,4.752131491748567e-07
time_sec,107.0,5.468233319115932e-07
time_sec,108.0,6.263532523736841e-07
time_sec,109.0,4.803516937283512e-07
time_sec,110.0,4.6331856881907016e-07
time_sec,111.0,4.90748509702656e-07
time_sec,112.0,5.285168620025146e-07
time_sec,113.0,5.840716481743019e-07
time_sec,114.0,6.449849731452453e-07
time_sec,115.0,5.219495839477221e-07
time_sec,116.0,4.800180437252025e-07
time_sec,117.0,5.026610004455404e-07
time_sec,118.0,5.757850992713619e-07
time_sec,119.0,1.4070175183114585e-06
time_sec,120.0,1.220295471647769e-06
time_sec,121.0,7.710728334277859e-07
time_sec,122.0,7.312223970842283e-07
time_sec,123.0,6.872999548753887e-07
time_sec,124.0,6.199995301041099e-07
time_sec,125.0,9.455747976635858e-07
time_sec,126.0,1.1774203258911717e-06
time_sec,127.0,8.28794781680623e-07
time_sec,128.0,7.637077266290984e-07
time_sec,129.0,6.916015676824539e-07
time_sec,130.0,6.811356705036059e-07
time_sec,131.0,5.652788377041894e-07
time_sec,132.0,7.61031508777514e-07
time_sec,133.0,5.568283899198674e-07
time_sec,134.0,5.27711716651481e-07
time_sec,135.0,5.062410396763172e-07
time_sec,136.0,5.174847158187268e-07
time_sec,137.0,5.215447377535078e-07
time_sec,138.0,6.40014497902511e-07
time_sec,139.0,5.562742421830099e-07
time_sec,140.0,5.832749894506884e-07
time_sec,141.0,7.201927528856246e-07
time_sec,142.0,5.167134096479622e-07
time_sec,143.0,6.477179000667604e-07
time_sec,144.0,7.446201231205013e-07
time_sec,145.0,7.14851680696323e-07
time_sec,146.0,6.695668370771844e-07
time_sec,147.0,6.491365434244832e-07
time_sec,148.0,5.602874715079323e-07
time_sec,149.0,6.027420676780081e-07
time_sec,150.0,6.836862725067948e-07
time_sec,151.0,6.99062966369099e-07
