freq_hz,psd_mean
21.125,2.0317335801481341e-13
21.25,1.9610172852421636e-13
21.375,1.6696044269580706e-13
21.5,2.1706990481306878e-13
21.625,2.640364920059275e-13
21.75,1.6496703773460318e-13
21.875,1.484701222344019e-13
22.0,1.9210196942727895e-13
22.125,1.9179077993541485e-13
22.25,2.171501309917992e-13
22.375,1.9312735998358213e-13
22.5,1.722667848564769e-13
22.625,1.758476007049026e-13
22.75,1.719158056731642e-13
22.875,1.7479447308141396e-13
23.0,1.858270050383496e-13
23.125,1.7920052013887738e-13
23.25,2.0887228454537836e-13
23.375,2.0141156896940713e-13
23.5,1.7424170751444182e-13
23.625,2.0620838947777328e-13
23.75,1.5937709643409154e-13
23.875,2.2789949079573427e-13
24.0,2.2401041861924787e-13
24.125,1.727245142320407e-13
24.25,2.0891997907169897e-13
24.375,2.2333349987698275e-13
24.5,1.501049637246621e-13
24.625,1.880675779067954e-13
24.75,2.0574600100952276e-13
24.875,1.9643637276001254e-13
25.0,2.425501627913197e-13
25.125,1.6675776627281544e-13
25.25,1.9346539268832726e-13
25.375,1.9099555736323716e-13
25.5,1.742994433331715e-13
25.625,1.6376261785187726e-13
25.75,1.9894642526613207e-13
25.875,1.6829215839506453e-13
26.0,2.2907294799469315e-13
26.125,2.11395369439353e-13
26.25,1.9955463544806062e-13
26.375,2.1146605804743848e-13
26.5,2.0546876252330467e-13
26.625,2.1206082938596942e-13
26.75,1.9802294824370147e-13
26.875,1.8969998626746818e-13
27.0,2.0058206981367934e-13
27.125,2.4649332789741804e-13
27.25,2.84179854530203e-13
27.375,2.646567258903518e-13
27.5,2.323300499569324e-13
27.625,2.2089388084091274e-13
27.75,1.7113343275120706e-13
27.875,1.8537097506952516e-13
28.0,2.1425818069137273e-13
28.125,1.691035092600991e-13
28.25,1.818770561005019e-13
28.375,1.985543696282185e-13
28.5,1.9495277612793895e-13
28.625,2.1637885568418693e-13
28.75,1.9326998573629875e-13
28.875,2.042892959073961e-13
29.0,2.245157557236716e-13
29.125,2.155864477568379e-13
29.25,1.576051491672282e-13
29.375,1.927098256368005e-13
29.5,1.6382960744136883e-13
29.625,1.8782927786348562e-13
29.75,1.7080795939146514e-13
29.875,1.6865106566778666e-13
30.0,2.67657273730897e-13
30.125,2.290101758509832e-13
30.25,2.2296322215752293e-13
30.375,2.504459339979177e-13
30.5,2.3619667674360595e-13
30.625,2.0536523334699616e-13
30.75,2.575520014144412e-13
30.875,2.544875441593119e-13
31.0,2.2457685904986894e-13
31.125,2.308408696832556e-13
31.25,1.5766685928718863e-13
31.375,2.2712378224083732e-13
31.5,2.815975504718189e-13
31.625,2.4253343241367327e-13
31.75,1.7560765211303356e-13
31.875,1.7125526820314924e-13
32.0,2.3765353220864055e-13
32.125,2.8194309274156907e-13
32.25,2.1154460259416654e-13
32.375,1.5753853391841936e-13
32.5,1.6766123888472102e-13
32.625,1.8296020884765899e-13
32.75,2.389334865903423e-13
32.875,2.3397918734336056e-13
33.0,2.413761839827856e-13
33.125,2.536831916884404e-13
33.25,1.742130130627655e-13
33.375,2.1602321823788333e-13
33.5,2.326003246879339e-13
33.625,2.0582295295451286e-13
33.75,1.6970224120836174e-13
33.875,2.1226494087292373e-13
34.0,2.2407390410199684e-13
34.125,1.911862766618342e-13
34.25,1.9387596466048733e-13
34.375,1.9694109598480038e-13
34.5,1.8353436928518078e-13
34.625,2.783621217837731e-13
34.75,3.0921096481944827e-13
34.875,1.9356685051042885e-13
35.0,1.6251574030471118e-13
35.125,1.6811327205107219e-13
35.25,2.617936527116525e-13
35.375,2.2245141505431249e-13
35.5,2.3819154940828435e-13
35.625,2.0788929985914512e-13
35.75,2.5829978603675e-13
35.875,2.4045120584569896e-13
36.0,2.1912073893304422e-13
36.125,1.615836755210932e-13
36.25,1.5847237619806276e-13
36.375,2.031672678920633e-13
36.5,2.0150089422604452e-13
36.625,1.814133149131819e-13
36.75,1.88556462276835e-13
36.875,2.057121746319605e-13
37.0,1.5320815254228888e-13
37.125,1.5166677068948413e-13
37.25,1.6850170447616698e-13
37.375,1.755478671918209e-13
37.5,1.6812092573784569e-13
37.625,1.5888145222523712e-13
37.75,1.5167791172696627e-13
37.875,1.9768339045691455e-13
38.0,1.57156423304739e-13
38.125,1.278885469411663e-13
38.25,1.7687319917406083e-13
38.375,1.48747314070633e-13
38.5,1.372387232427448e-13
38.625,1.48680192848149e-13
38.75,1.1411809952255317e-13
38.875,1.2382054294236358e-13
39.0,1.0850710439804392e-13
39.125,1.2923858057144997e-13
39.25,1.0541310892351827e-13
39.375,1.4404483236989794e-13
39.5,1.5858348676987024e-13
39.625,1.160376318122925e-13
39.75,1.2360262237010415e-13
39.875,1.36125157052618e-13
40.0,1.2218713518225449e-13
